,Name,Sectors,Assets
19,VO,"[{'realestate': 0.0904}, {'consumer_cyclical': 0.1008}, {'basic_materials': 0.049000002}, {'consumer_defensive': 0.0388}, {'technology': 0.1713}, {'communication_services': 0.0382}, {'financial_services': 0.1289}, {'utilities': 0.0512}, {'industrials': 0.1329}, {'energy': 0.056500003}, {'healthcare': 0.1165}]",147457671168
20,VXUS,"[{'realestate': 0.034}, {'consumer_cyclical': 0.1116}, {'basic_materials': 0.0849}, {'consumer_defensive': 0.0753}, {'technology': 0.112799995}, {'communication_services': 0.0577}, {'financial_services': 0.1926}, {'utilities': 0.0335}, {'industrials': 0.13270001}, {'energy': 0.053200003}, {'healthcare': 0.0888}]",374129917952
21,IWD,"[{'realestate': 0.0494}, {'consumer_cyclical': 0.0627}, {'basic_materials': 0.0402}, {'consumer_defensive': 0.0706}, {'technology': 0.083500005}, {'communication_services': 0.0801}, {'financial_services': 0.20629999}, {'utilities': 0.0594}, {'industrials': 0.1039}, {'energy': 0.082399994}, {'healthcare': 0.16479999}]",53740429312
22,VYM,"[{'realestate': 0.0001}, {'consumer_cyclical': 0.066199996}, {'basic_materials': 0.040700004}, {'consumer_defensive': 0.1333}, {'technology': 0.0784}, {'communication_services': 0.0378}, {'financial_services': 0.2083}, {'utilities': 0.0727}, {'industrials': 0.103}, {'energy': 0.107200004}, {'healthcare': 0.1526}]",63751376896
23,EFA,"[{'realestate': 0.0273}, {'consumer_cyclical': 0.1082}, {'basic_materials': 0.0801}, {'consumer_defensive': 0.0996}, {'technology': 0.0847}, {'communication_services': 0.049000002}, {'financial_services': 0.1892}, {'utilities': 0.033800002}, {'industrials': 0.14840001}, {'energy': 0.0478}, {'healthcare': 0.129}]",48804282368
24,BNDX,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0.0104}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",82372321280
25,SCHD,"[{'realestate': 0}, {'consumer_cyclical': 0.0758}, {'basic_materials': 0.0229}, {'consumer_defensive': 0.13270001}, {'technology': 0.1612}, {'communication_services': 0.0592}, {'financial_services': 0.2171}, {'utilities': 0.0037}, {'industrials': 0.1618}, {'energy': 0.056199998}, {'healthcare': 0.108500004}]",46970138624
26,VB,"[{'realestate': 0.088599995}, {'consumer_cyclical': 0.1247}, {'basic_materials': 0.045700002}, {'consumer_defensive': 0.04}, {'technology': 0.1478}, {'communication_services': 0.0232}, {'financial_services': 0.137}, {'utilities': 0.0219}, {'industrials': 0.18049999}, {'energy': 0.0495}, {'healthcare': 0.1167}]",124368928768
27,VGT,"[{'realestate': 0}, {'consumer_cyclical': 0.00029999999}, {'basic_materials': 0.0001}, {'consumer_defensive': 0}, {'technology': 0.8943}, {'communication_services': 0.0013}, {'financial_services': 0.0747}, {'utilities': 0}, {'industrials': 0.0223}, {'energy': 0}, {'healthcare': 0}]",48795742208
28,XLK,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0.8854}, {'communication_services': 0}, {'financial_services': 0.088199995}, {'utilities': 0}, {'industrials': 0.0232}, {'energy': 0}, {'healthcare': 0}]",40827580416
29,ITOT,"[{'realestate': 0.0359}, {'consumer_cyclical': 0.10609999}, {'basic_materials': 0.0272}, {'consumer_defensive': 0.0648}, {'technology': 0.23200001}, {'communication_services': 0.0719}, {'financial_services': 0.1412}, {'utilities': 0.0299}, {'industrials': 0.096}, {'energy': 0.0499}, {'healthcare': 0.1445}]",41109778432
30,VCSH,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",48588156928
31,VCIT,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",42594258944
32,XLV,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0.9992}]",40890568704
33,XLE,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0.9926}, {'healthcare': 0}]",42445213696
34,LQD,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",39530442752
35,BSV,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",64980701184
36,VNQ,"[{'realestate': 0.9859}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0.0007}, {'communication_services': 0.0068}, {'financial_services': 0.00029999999}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",69620342784
